日付,小売店名,店舗名,ブランド名,商品名,売上数量,売上金額,年月,登録日時
2026-04-28,PLAZA,三宮店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,三宮店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ横浜店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアミルク CW,2,5360,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ大宮店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,アミュプラザ小倉店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,汐留シオサイト店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,新越谷ヴァリエ店,YOU TOKYO,YOU TOKYO ヘアオイル BS,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネエスト新宿店,ラフドット,ラフドット インティメイトFミスト LV,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネエスト新宿店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネエスト新宿店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,アトレ恵比寿店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,アトレ恵比寿店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ町田店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,池袋パルコ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ北千住店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ北千住店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ北千住店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ北千住店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,札幌ステラプレイス店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ荻窪店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ池袋店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ池袋店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルミネ池袋店,YOU TOKYO,YOU TOKYO ヘアオイル RR,2,4560,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,舞浜イクスピアリ店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,たまプラーザテラス店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,たまプラーザテラス店,YOU TOKYO,YOU TOKYO ヘアミルク RR,2,5360,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルクア大阪店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ルクア大阪店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ラスカ茅ケ崎店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,静岡パルシェ店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,東京店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,名古屋ユニモール店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,名古屋ユニモール店,ラフドット,ラフドット インティメイトFミスト SB,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,船橋東武店,ラフドット,ラフドット インティメイトウォッシュ LV,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,船橋東武店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,コクーンシティさいたま新都心店,ラフドット,ラフドット インティメイトウォッシュ LV,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,ららテラス川口店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール太田店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール宮崎店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,沖縄・浦添PARCOCITY店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,沖縄・浦添PARCOCITY店,ラフドット,ラフドット インティメイトFミスト PM,1,3132,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール広島府中店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール四條畷店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール川口前川店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール川口前川店,ラフドット,ラフドット インティメイトウォッシュ MV,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール高岡店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール浜松市野店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,プラザイオンモール浜松市野店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,オンラインストア,ラフドット,ラフドット インティメイトウォッシュ SB,3,10746,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,オンラインストア,YOU TOKYO,YOU TOKYO ヘアミルク CW,4,10720,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,オンラインストア,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-28,PLAZA,オンラインストア,TEABLESS,TEABLESS ボディローションLW,1,1500,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,梅田ヘップファイブ店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,梅田ヘップファイブ店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,玉川高島屋SC店,YOU TOKYO,YOU TOKYO ヘアオイル RR,1,2280,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,ルミネ横浜店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,ルミネ横浜店,YOU TOKYO,YOU TOKYO ヘアミルク CW,1,2680,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,アトレ大井町店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトウォッシュ SB,1,3582,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,ルミネ新宿店,ラフドット,ラフドット インティメイトミスト MV,1,3132,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,ルミネ新宿店,YOU TOKYO,YOU TOKYO ヘアミルク RR,1,2680,2026-04,2026-05-18 12:46:55
2026-04-27,PLAZA,アミュプラザ小倉店,ラフドット,ラフドット インティメイトウォッシュ PM,1,3582,2026-04,2026-05-18 12:46:55
